,Institution,Count,Professors
1,Indian Institute of Technology Kharagpur,14.05,"Bivas Mitra, Debasis Samanta, Debdeep Mukhopadhyay, Mainack Mondal, Niloy Ganguly, Pallab Dasgupta, Partha Pratim, DasRajat, Subhra Chakraborty, Sarani Bhattacharya, Shamik Sural, Sourangshu Bhattacharya, Sudeshna Kolay, Sudip Misra"
2,Indian Institute of Technology Kanpur,5.927380952,"Amitangshu Pal, Angshuman Karmakar, Ansuman Banerjee, Gaurav Sharma, Pabitra Mitra, Priyanka Bagade, Shashank Srivastava, Sumit Gulwani, Sutanu Gayen, Urbi Chatterjee"
3,Indian Institute of Technology (BHU) Varanasi,4.733333333,"Anil Kumar Tripathi, Bhaskar Biswas, Mayank Swarnkar, Prasenjit Chanak, Pratik Chattopadhyay, Sanjay Kumar Singh"
4,Indian Institute of Technology Madras,3.783333333,"Balaraman Ravindran, C. Siva Ram Murthy, Chester Rebeiro, Madhu Mutyam, Mriganka Sur, Sriraam Natarajan, Sukhendu Das, Sutanu Chakraborti"
5,Indian Institute of Technology Guwahati,3.55,"Arijit Sur, Ashish Anand, Chandan Karfa, Moumita Patra, Pinaki Mitra, Sanasam Ranbir Singh, Sukumar Nandi"
6,IIT HYDERABAD,3.183333333,"Ashish Mishra, Bheemarjuna Reddy Tamma, Kotaro Kataoka, Maunendra Sankar Desarkar, Praveen Tammana, Rameshwar Pratap, Shirshendu Das"
7,KK Birla Goa Campus,2.70952381,"Hemant Rathore, Rajesh Kumar, Sanjay K. Sahay, Snehanshu Saha, Sougata Sen"
8,Indian Institute of Technology Bombay,2.667857143,"Ashutosh Gupta, Manas Thakur, Sanjit A. Seshia, Sharat Chandra, Soumen Chakrabarti, Sujoy Bhore, Vijay Ganesh"
9,BITS Pilani,2.644444444,"Amit Dua, Ashutosh Bhatia, Kamlesh Tiwari, Rajya Lakshmi Davuluri, Sonika Chandrakant Rathi, Sundaresan Raman, Tejasvi Alladi, Vishal Gupta"
10,Indian Institute of Technology Delhi,2.626190476,"Abhijnan Chakraborty, Kaustubh Beedkar, Nikhil Balaji, Rahul Ranjan, Sayan Ranu, Srikanta Bedathur, Subodh Kumar, Tarun Mangla"
11,NIT Surathkal,2.283333333,"Alwyn Roshan Pais, Jeny Rajan, Shridhar Sanshi, Sourav Kanti Addya"
12,IIT GANDHINAGAR,1.116666667,"Balagopal Komarath, Yogesh Kumar Meena"
13,NIT Tiruchirapalli,1.083333333,"Madhukrishna Priyadarsini, Sai Krishna Mothku"
14,BITS Hyderabad,0.976190476,"Chittaranjan Hota, Raghunath Reddy Madireddy, Tathagata Ray"
15,NIT Rourkela,0.75,"Arun Kumar, Durga Prasad Mohapatra"
